type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,24,Rodzaje rozpoznania wojskowego to?,"Lądowe, morskie, lotnicze, elektroniczne, cybernetyczne, agenturalne, obrazowe","Taktyczne, operacyjne i strategiczne (wyłącznie podział szczeblowy)","Obronne, zaczepne i manewrowe",Wyłącznie satelitarne i radioelektroniczne,A,,,,,,,,,,
mcq,25,Do zasad rozpoznania zgodnie z „Regulaminem działań wojsk lądowych” zalicza się?,"Centralne kierowanie, terminowość, systematyczne wykorzystanie źródeł, obiektywność, dostępność, dyspozycyjność, zabezpieczenie źródeł, ciągła weryfikacja",Wyłącznie szybkość działania i zaskoczenie przeciwnika,"Maskowanie, manewr i ogień",Jednoosobowe kierowanie i decentralizację rozpoznania bez nadzoru,A,,,,,,,,,,
mcq,26,Danymi rozpoznawczymi są?,Wyłącznie informacje pochodzące z wywiadu strategicznego,Wszelkie informacje pozyskane w wyniku działań rozpoznawczych mające znaczenie dla planowania i prowadzenia operacji,Meldunki logistyczne dotyczące wyżywienia żołnierzy,Rozkazy wydawane przez dowódcę pododdziału,B,,,,,,,,,,
mcq,27,Dowódca prowadzący działania będzie zainteresowany informacjami z rejonów?,Wyłącznie bezpośredniego styku z przeciwnikiem,"Działań wroga, obszaru walki, terenu, logistyki, przestrzeni informatycznej oraz oddziaływania ludności cywilnej",Tylko własnego zaplecza logistycznego,Jedynie przestrzeni powietrznej nad ugrupowaniem,B,,,,,,,,,,
mcq,28,Działalność rozpoznawcza powinna spełniać kryteria?,"Ciągłości, kompleksowości, dokładności i elastyczności",Jednorazowości i doraźności,Utajnienia bez weryfikacji danych,Wyłącznej centralizacji bez współdziałania,A,,,,,,,,,,
mcq,29,Rejon zainteresowania rozpoznawczego (Area of Intelligence Interest) – jego głębokość może wynosić?,"Dla batalionu do 10 km, brygady do 30 km, dywizji do 70 km","Dla batalionu do 30 km, brygady do 70 km, dywizji do 150 km",Jednakowo 50 km dla każdego szczebla,Wyłącznie w granicach bezpośredniej styczności wojsk,B,,,,,,,,,,
mcq,30,Rejon odpowiedzialności rozpoznawczej (Area of Intelligence Responsibility) – głębokość może wynosić?,"Dla batalionu do 5 km, brygady do 20 km, dywizji do 60 km","Dla batalionu do 30 km, brygady do 70 km, dywizji do 150 km",Wyłącznie w granicach administracyjnych państwa,Zawsze dwukrotność rejonu zainteresowania rozpoznawczego,B,,,,,,,,,,
mcq,31,W skład komponentu lądowego i powietrznego Sił Zbrojnych Federacji Rosyjskiej stacjonującego w Obwodzie Królewieckim wchodzą?,"336 Brygada Piechoty Morskiej, 313 Oddział Specjalnego Przeznaczenia, 4 pułk lotnictwa szturmowego, 689 pułk lotnictwa myśliwskiego, 398 eskadra lotnictwa transportowego, 125 eskadra śmigłowców, 396 eskadra śmigłowców ZOP","1 Gwardyjska Armia Pancerna, 76 Dywizja Desantowo-Szturmowa, 22 Korpus Armijny, 6 Armia Lotnicza i Obrony Powietrznej","11 Dywizja Pancerna, 25 Brygada Zmechanizowana, 3 Pułk Rakietowy Iskander, 2 Pułk Bombowy","7 Dywizja Powietrznodesantowa, 810 Brygada Piechoty Morskiej, 31 Brygada Desantowo-Szturmowa",A,,,,,,,,,,
mcq,32,W skład 34. Mieszanej Dywizji Lotniczej Sił Zbrojnych Federacji Rosyjskiej wchodzi?,"4 mieszany pułk lotniczy (Czerniachowsk), 689 pułk lotnictwa myśliwskiego (Czkałowsk), 396 mieszany pułk śmigłowców (Donskoje)","159 pułk myśliwski, 47 pułk bombowy, 55 pułk rozpoznawczy","22 pułk lotnictwa dalekiego zasięgu, 14 pułk transportowy, 9 brygada śmigłowców szturmowych","6 armia lotnicza, 105 dywizja bombowa, 18 pułk bezzałogowych statków powietrznych",A,,,,,,,,,,
mcq,33,"Wskaż, które z wymienionych przedsięwzięć nie należy do działań OPBMR?",Wykrywanie i identyfikacja skażeń,Monitoring zmian sytuacji skażeń,"Ostrzeganie, alarmowanie i meldowanie o skażeniach",Ochrona przed zbrojną napaścią,D,,,,,,,,,,
mcq,34,Która substancja chemiczna nie należy do Toksycznych Środków Przemysłowych?,Cyjanowodór,Chlor,Dwutlenek węgla,Sarin,C,,,,,,,,,,
mcq,35,Do charakterystycznych oznak użycia BMR zaliczymy?,Zniszczenia na niewielką skalę,Znaczny wzrost zachorowań na chorobę nieznanego pochodzenia,Znaczny spadek poziomu rzek,Masowe straty w ludziach,B,,,,,,,,,,
mcq,36,Do zespołu charakterystycznych objawów wywołanych przez TŚP nie należy?,Paraliż układu nerwowego,Podrażnienie skóry i błon śluzowych,Biegunka i inne komplikacje ze strony układu pokarmowego,Zaburzenia widzenia,A,,,,,,,,,,
mcq,37,Przyrządem do rozpoznania skażeń chemicznych i promieniotwórczych nie jest?,Dozymetr DKP-50,Lyse Cycler,Papierek wskaźnikowy PWCH-1,Automatyczny przyrząd rozpoznania skażeń chemicznych AP-2C / AP-4C,B,,,,,,,,,,
mcq,38,Do metod wykrywania skażeń promieniotwórczych nie zaliczamy?,Metody fotograficznej,Metody immunochromatograficznej,Metody scyntylacyjnej,Metody radiometrycznej,B,,,,,,,,,,
mcq,39,Urządzeniem niesłużącym do detekcji i identyfikacji BMR jest?,PCHR-54M,Dozymetr optyczny,LIDAR,Real Time-PCR,B,,,,,,,,,,
mcq,40,Co oznacza skrót OPBMR?,Obrona przed Biologiczną Możliwością Rażenia,Obrona przed Bronią Masowego Rażenia,Oznaki Porażenia Bronią Masowego Rażenia,Obrona Poszkodowanych Bronią Masowego Rażenia,B,,,,,,,,,,
mcq,41,Wskaż prawidłową definicję „identyfikacji skażeń”?,Działanie zmierzające do ustalenia rodzaju środka lub materiału użytego podczas wystąpienia zdarzenia BMR,Działanie zmierzające do ustalenia rodzaju środka lub materiału użytego podczas wystąpienia zdarzenia CBRN,Działanie zmierzające do ustalenia przedmiotu i czynnika użytego podczas wystąpienia zdarzenia CBRN,Dział poświęcony identyfikacji skażenia poprzez identyfikację użytego czynnika BMR,B,,,,,,,,,,
mcq,42,Które rozwinięcie skrótu ZSOPS jest prawidłowe?,Zabezpieczające Środki Ochrony przed Skażeniami,Zbiorowe Środki Ochrony przed Skażeniami,Zbiorcze Środki Ochrony przed Skażeniami,Zwyczajny Sprzęt Ochronny przed Skażeniami,B,,,,,,,,,,
mcq,43,Prawidłowa definicja „broni jądrowej” to?,"Kompletny zestaw urządzeń, który w ostatecznej konfiguracji po zakończeniu procesu uzbrajania prowadzi do zainicjowania niekontrolowanej reakcji jądrowej z uwolnieniem energii","Kompletny zestaw urządzeń, który w ostatecznej konfiguracji po zakończeniu procesu uzbrajania i odpalania prowadzi do zainicjowania niekontrolowanej reakcji jądrowej z uwolnieniem energii","Zestaw urządzeń, który w ostatecznej konfiguracji po zakończeniu procesu odpalania prowadzi do zainicjowania niekontrolowanej reakcji jądrowej",Urządzenia inicjujące reakcję jądrową z udziałem uwolnionej energii o ogromnej sile,B,,,,,,,,,,
mcq,44,Obrona Przeciwlotnicza jest częścią składową?,Obrony Terytorialnej państwa,Obrony Przestrzeni Powietrznej w celu zwalczania środków napadu powietrznego,Systemu reagowania kryzysowego administracji cywilnej,Marynarki Wojennej,B,,,,,,,,,,
mcq,45,Jaki element należy do pasywnej powszechnej obrony przeciwlotniczej?,Prowadzenie ognia do celów powietrznych,"Maskowanie, rozśrodkowanie sił i przygotowanie schronień",Naprowadzanie lotnictwa myśliwskiego,Użycie rakiet przeciwlotniczych,B,,,,,,,,,,
mcq,46,Do obowiązków obserwatora na posterunku obserwacyjnym nie należy?,Wykrywanie i meldowanie o środkach napadu powietrznego,Określanie kierunku i wysokości lotu,Prowadzenie dokumentacji obserwacyjnej,Przeprowadzanie ataków lub prowadzenie ognia,D,,,,,,,,,,
mcq,47,Likwidacja skutków uderzeń ze strony przeciwnika powietrznego nie obejmuje?,Usuwania zniszczeń infrastruktury,Ewakuacji poszkodowanych,Bezpośredniego reagowania ogniem przeciwlotniczym,Przywracania zdolności bojowej,C,,,,,,,,,,
mcq,48,Do rodzajów śmigłowców bojowych zaliczamy?,Szturmowe (uderzeniowe),Wyłącznie transportowe,Wyłącznie szkolne,Bombowe dalekiego zasięgu,A,,,,,,,,,,
mcq,49,Jakie wyróżniamy sposoby stawiania zapór ogniowych w ramach POPL?,Okrężna i liniowa,Pionowa i pochyła,Centralna i sektorowa,Stała i ruchoma,B,,,,,,,,,,
mcq,50,Zestawy przeciwlotnicze krótkiego zasięgu (SHORAD) mieszczą się w przedziale?,do 5 km,od 5 do 10 km,od 10 do 50 km,powyżej 100 km,C,,,,,,,,,,
mcq,51,W ramach programu „NAREW” pozyskano zestawy przeciwlotnicze?,Tak – m.in. iLauncher z pociskami CAMM oraz wozy dowodzenia,Nie – program został anulowany,Wyłącznie zestawy artyleryjskie 23 mm,Jedynie radary bez efektorów,A,,,,,,,,,,
mcq,52,Do wyposażenia Posterunku Obserwacyjnego należy?,Wyrzutnia rakiet przeciwlotniczych,"Lornetka, busola, środki łączności i dziennik obserwatora",Armata przeciwlotnicza,Radar dalekiego zasięgu,B,,,,,,,,,,
mcq,53,Odwołanie alarmu powietrznego przy użyciu syreny jest ogłaszane poprzez?,Jednominutowy sygnał przerywany,Dwuminutowy sygnał modulowany,Trzyminutowy sygnał ciągły,Pięciominutowy sygnał przerywany,C,,,,,,,,,,
mcq,54,Wojskowe mapy topograficzne należą do grupy map?,Tematycznych,Ogólnogeograficznych,Hydrograficznych,Klimatycznych,B,,,,,,,,,,
mcq,55,Przygotowanie mapy do pracy nie obejmuje?,Zorientowania mapy w terenie,Sprawdzenia aktualności treści mapy,"Sprawdzenia wydawcy mapy, godła i numeru serii",Sprawdzenia skali mapy,C,,,,,,,,,,
mcq,56,Mapę można zorientować?,Wyłącznie przy użyciu GPS,Magnetycznie i geometrycznie,Tylko według Słońca,Jedynie przy użyciu dalmierza,B,,,,,,,,,,
mcq,57,Odległość zmierzona w terenie wynosi 575 m. Jakim odcinkiem jest przedstawiona na mapie w skali 1:25 000?,"11,5 mm",23 mm,"5,75 mm","57,5 mm",B,,,,,,,,,,
mcq,58,Na mapie w skali 1:50 000 1 cm odpowiada odległości w terenie równej?,50 m,100 m,500 m,5 km,C,,,,,,,,,,
mcq,59,Kierunek północy geograficznej na mapie wyznaczają?,Równoleżniki,Poziomice,Siatka kilometrowa,Południki,D,,,,,,,,,,
mcq,60,Swoje położenie w terenie możemy określić za pomocą?,Wyłącznie odbiornika GPS,Mapy i busoli,Jedynie obserwacji drzew i mrowisk,Tylko kompasu bez mapy,B,,,,,,,,,,
mcq,61,Jaki sposób pomiaru odległości będzie najczęściej wykorzystywany podczas marszu według mapy?,Pomiar dalmierzem laserowym,Pomiar krokami (parokrokami),Pomiar teodolitem,Pomiar echosondą,B,,,,,,,,,,
mcq,62,Umowne znaki topograficzne możemy podzielić na?,"Punktowe, liniowe, konturowe i objaśniające",Wojskowe i cywilne,Naturalne i sztuczne,Stałe i ruchome,A,,,,,,,,,,
mcq,63,Kierunek spadku terenu na mapie możemy określić za pomocą?,Równoleżników,Południków,Poziomic,Legendy mapy,C,,,,,,,,,,
mcq,64,Funkcje dowodzenia to?,"Ustalanie położenia, planowanie, stawianie zadań, kontrola","Maskowanie, manewr, ogień, obrona","Mobilizacja, szkolenie, dyscyplina","Dowodzenie, rozpoznanie, logistyka",A,,,,,,,,,,
mcq,65,Jakie rodzaje wojsk wchodzą w skład Sił Powietrznych?,"Wojska lotnicze, wojska obrony przeciwlotniczej, wojska radiotechniczne","Wojska pancerne, zmechanizowane i aeromobilne",Marynarka Wojenna i Wojska Specjalne,Wyłącznie lotnictwo myśliwskie,A,,,,,,,,,,
mcq,66,W jakiej sytuacji wydaje się zarządzenie bojowe?,Wyłącznie przed rozpoczęciem działań bojowych,"W przypadku zmiany sytuacji lub sposobu działania, jako uzupełnienie rozkazu bojowego",Tylko w czasie pokoju,Zawsze zamiast rozkazu bojowego,B,,,,,,,,,,
mcq,67,Jednostki wojskowe i związki organizacyjne Sił Zbrojnych RP w czasie pokoju podlegają?,Ministrowi Obrony Narodowej bezpośrednio,Szefowi Sztabu Generalnego WP,Dowódcy Generalnemu Rodzajów Sił Zbrojnych,Prezesowi Rady Ministrów,C,,,,,,,,,,
mcq,68,Kto jest Zwierzchnikiem Sił Zbrojnych RP?,Minister Obrony Narodowej,Marszałek Sejmu,Prezydent RP,Premier RP,C,,,,,,,,,,
mcq,69,Ile punktów zawiera rozkaz bojowy?,Trzy,Cztery,Pięć,Siedem,C,,,,,,,,,,
mcq,70,Jakie elementy wchodzą w skład systemu dowodzenia?,"Organizacja dowodzenia, środki dowodzenia, proces dowodzenia",Wyłącznie dowódca i sztab,"Logistyka, medycyna, transport",Planowanie i kontrola,A,,,,,,,,,,
mcq,71,Wojska aeromobilne wchodzą w skład?,Sił Powietrznych,Marynarki Wojennej,Wojsk Lądowych,Wojsk Specjalnych,C,,,,,,,,,,
mcq,72,W skład Sił Powietrznych jako ich związki taktyczne wchodzą?,1 Skrzydło Lotnictwa Taktycznego i 2 Skrzydło Lotnictwa Taktycznego,12 Dywizja Zmechanizowana,11 Lubuska Dywizja Kawalerii Pancernej,3 Flotylla Okrętów,A,,,,,,,,,,
mcq,73,W punkcie drugim rozkazu bojowego (Realizacja) nie umieszcza się?,Zamiaru dowódcy,Zadań dla podwładnych,Wytycznych koordynacyjnych,Charakterystyki przeciwnika,D,,,,,,,,,,
mcq,74,Czynniki walki zbrojnej to?,"Rażenie, ruch, informacja","Mobilizacja, szkolenie, logistyka","Dowodzenie, zabezpieczenie, medycyna","Ogień, maskowanie, inżynieria",A,,,,,,,,,,
mcq,75,W punkcie pierwszym rozkazu bojowego (Sytuacja) nie umieszcza się?,Obszaru działań,Przeciwnika,Wojsk własnych,Zamiaru dowódcy,D,,,,,,,,,,
mcq,76,Dokumenty graficzne to?,"Mapy operacyjne i taktyczne, szkice sytuacyjne, plany ogniowe, schematy organizacyjne",Wyłącznie rozkazy pisemne i meldunki,Tylko fotografie satelitarne,Instrukcje i regulaminy wojskowe,A,,,,,,,,,,
mcq,77,"Podczas opracowywania dokumentów graficznych należy stosować zasadę, że wojska własne oznacza się kolorem?",Czerwonym,Zielonym,Niebieskim,Czarnym,C,,,,,,,,,,
mcq,78,W jaki sposób oznacza się położenie wojsk i obiektów planowanych lub zapasowych?,Linią ciągłą,Linią przerywaną,Kolorem czarnym bez opisu,Wyłącznie symbolem literowym,B,,,,,,,,,,
mcq,79,W jaki sposób wykonuje się opisy dokumentów graficznych?,Pismem odręcznym drukowanym dowolnej wielkości,"Pismem technicznym, równolegle do poziomej linii siatki współrzędnych lub ramki mapy",Wyłącznie drukiem komputerowym,Ołówkiem bez zachowania proporcji liter,B,,,,,,,,,,
mcq,80,Do oznaczania wojsk własnych stosuje się znaki graficzne nanoszone kolorem?,Czerwonym,Niebieskim,Żółtym,Fioletowym,B,,,,,,,,,,
mcq,81,W jaki sposób nanosimy na mapę położenie wojsk i obiektów rzeczywiste (faktyczne)?,Linią przerywaną,Linią kropkowaną,Linią ciągłą,Linią falistą,C,,,,,,,,,,
mcq,82,"Dokumenty wykonywane na szkicu, kalce lub folii dowiązuje się do mapy topograficznej poprzez?",Zaznaczenie jednego punktu charakterystycznego,Oznaczenie co najmniej trzech charakterystycznych punktów dowiązania,Wskazanie wyłącznie kierunku północy,Podanie współrzędnych bez nanoszenia punktów,B,,,,,,,,,,
mcq,83,Podczas opracowywania dokumentów graficznych wojska przeciwnika oznacza się kolorem?,Niebieskim,Czerwonym,Zielonym,Czarnym,B,,,,,,,,,,
mcq,84,Wojska neutralne na dokumentach graficznych oznacza się kolorem?,Żółtym,Zielonym,Czerwonym,Fioletowym,B,,,,,,,,,,
mcq,85,Położenie wojsk nierozpoznanych oznacza się kolorem?,Żółtym,Niebieskim,Czarnym,Brązowym,A,,,,,,,,,,
mcq,86,Linie rozgraniczenia i ramki na dokumentach graficznych wykonuje się kolorem?,Czerwonym,Zielonym,Czarnym,Fioletowym,C,,,,,,,,,,
mcq,87,Położenie wojsk rzeczywiste (faktyczne) oznacza się?,Linią przerywaną,Linią ciągłą,Linią falistą,Kropkowaniem,B,,,,,,,,,,
mcq,88,Położenie wojsk zapasowych lub pozornych oznacza się?,Linią ciągłą bez opisu,Linią przerywaną z oznaczeniem „Z” lub „P”,Kolorem czarnym,Wyłącznie symbolem literowym,B,,,,,,,,,,
mcq,89,Dokumenty graficzne w sytuacji dynamicznej (różny czas położenia wojsk) oznacza się?,Wyłącznie zmianą koloru,Podkolorowaniem i opisem czasu,Tylko nową mapą,Bez dodatkowych oznaczeń,B,,,,,,,,,,
mcq,90,Opisy dokumentów graficznych wykonuje się?,Pismem odręcznym dowolnym,Pismem technicznym (pochyłym lub pionowym),Wyłącznie drukiem komputerowym,Ołówkiem bez zachowania proporcji,B,,,,,,,,,,
mcq,91,Duże litery w opisach dokumentów graficznych powinny być względem małych?,Takiej samej wielkości,O 1/3 mniejsze,O 1/3 większe,Dwukrotnie większe,C,,,,,,,,,,
mcq,92,Skróty nazw pododdziałów na mapach zapisuje się?,Dużymi literami,Małymi literami,Kursywą,Kolorem czerwonym,B,,,,,,,,,,
mcq,93,Podczas szkolenia w Wojsku Polskim opisy na dokumentach bojowych wykonuje się?,Wyłącznie w języku angielskim,W języku ojczystym,W języku rosyjskim,Dowolnie wybranym języku NATO,B,,,,,,,,,,
mcq,94,Szerokość liter o wysokości do 6 mm powinna wynosić?,1/2 ich wysokości,3/4 ich wysokości,1/3 ich wysokości,Równa wysokości Poprawna: b),,,,,,,,,,,
mcq,95,W literach o wysokości powyżej 6 mm szerokość może wynosić?,Wyłącznie 3/4 wysokości,1/2 lub 1/4 wysokości,Zawsze równa wysokości,Dowolna – bez normy,B,,,,,,,,,,
mcq,96,Odstęp między literami w jednym wyrazie powinien odpowiadać?,Dwóm grubościom litery,Jednej grubości litery,Połowie szerokości litery,Dowolnej odległości,B,,,,,,,,,,
mcq,97,Odstęp między wyrazami nie może być mniejszy niż?,Połowa szerokości litery,Jedna grubość litery,Szerokość jednej litery,Dwie szerokości litery,C,,,,,,,,,,
mcq,98,Odstęp między wierszami powinien wynosić co najmniej?,Jedną grubość litery,Dwie grubości litery,Trzy grubości litery,Cztery grubości litery,D,,,,,,,,,,
mcq,99,Małe litery występujące przed cyframi powinny być względem cyfr?,Tej samej wysokości,O 1/3 mniejsze,O 1/3 większe,Dwukrotnie mniejsze,B,,,,,,,,,,
mcq,100,Skróty pisane dużymi literami względem cyfr powinny być?,O 1/3 większe,O 1/3 mniejsze,Równe wysokości cyfr,Dwukrotnie większe,C,,,,,,,,,,
mcq,101,Na mapie w skali 1:50 000 napisy dla szczebla plutonu nie powinny przekraczać?,2 mm,3–4 mm,6 mm,8 mm,B,,,,,,,,,,
mcq,102,Na mapie w skali 1:50 000 napisy dla szczebla batalionu nie powinny przekraczać?,5 mm,6 mm,8 mm,10 mm,B,,,,,,,,,,
mcq,103,Dokumenty dowodzenia można podzielić na?,Operacyjne i taktyczne,"Dyrektywne, planistyczne, sprawozdawczo-informacyjne, pomocnicze",Jawne i niejawne,Strategiczne i logistyczne,B,,,,,,,,,,
mcq,104,Rozkaz bojowy składa się z ilu punktów?,Trzech,Czterech,Pięciu,Sześciu,C,,,,,,,,,,
mcq,105,Który z poniższych elementów wchodzi w skład rozkazu bojowego?,Sytuacja,Wnioski szkoleniowe,Sprawozdanie finansowe,Analiza meteorologiczna,A,,,,,,,,,,
mcq,106,ATO (Air Tasking Order) jest?,Planem logistycznym,Rozkazem bojowym dla pilotów,Dokumentem rozpoznawczym,Meldunkiem sytuacyjnym,B,,,,,,,,,,
mcq,107,Podstawowymi dokumentami dowodzenia są?,Regulaminy i instrukcje,"Rozkaz bojowy, zarządzenie bojowe, wstępne zarządzenie bojowe",Mapy i szkice,Meldunki medyczne,B,,,,,,,,,,
mcq,108,W czasie realizacji procesu dowodzenia organizuje się odprawy?,"Informacyjne, koordynacyjne, decyzyjne",Szkoleniowe i logistyczne,Wyłącznie operacyjne,Personalne i finansowe,A,,,,,,,,,,
mcq,109,Do dokumentów sprawozdawczo-informacyjnych nie zaliczamy?,Meldunków,Sprawozdań,Rozkazów,Informacji sytuacyjnych,C,,,,,,,,,,
mcq,110,Wyróżnia się trzy rodzaje załączników do dokumentów dowodzenia?,"Pisemne, graficzne, tabelaryczne","Jawne, tajne, ściśle tajne","Operacyjne, logistyczne, medyczne","Stałe, czasowe, doraźne",A,,,,,,,,,,
mcq,111,Zarządzenie przygotowawcze jest?,Dokumentem sprawozdawczym,Dokumentem rozkazodawczym o układzie jak rozkaz bojowy,Planem logistycznym,Meldunkiem sytuacyjnym,B,,,,,,,,,,
mcq,112,Wstępne zarządzenie bojowe wydaje się gdy?,Zadanie zostało już w pełni rozpoznane,Nie ma potrzeby planowania działań,"Istnieje duże prawdopodobieństwo wykonania zadania, lecz brak pełnych danych",Operacja została zakończona,C,,,,,,,,,,
mcq,113,Układ zarządzenia bojowego jest?,Skrócony do trzech punktów,Taki sam jak rozkazu bojowego,Dowolny – zależny od dowódcy,Ograniczony do punktów „Sytuacja” i „Zadanie”,B,,,,,,,,,,
mcq,114,Proces dowodzenia to?,Jednorazowe wydanie rozkazu bojowego,Cykl informacyjno-decyzyjny realizowany na wszystkich szczeblach dowodzenia,System meldunkowy w czasie pokoju,Plan logistyczny operacji,B,,,,,,,,,,
mcq,115,Jakie fazy realizowane są w ramach procesu dowodzenia?,"Planowanie, realizacja, zakończenie","Ustalenie położenia, planowanie, stawianie zadań, kontrola","Rozpoznanie, obrona, natarcie","Organizacja, szkolenie, mobilizacja",B,,,,,,,,,,
mcq,116,W ramach której fazy procesu dowodzenia podejmowana jest decyzja dowódcy?,Kontroli,Stawiania zadań,Planowania,Ustalenia położenia,C,,,,,,,,,,
mcq,117,W ramach której fazy procesu dowodzenia opracowywany jest rozkaz bojowy?,Kontroli,Planowania,Ustalenia położenia,Realizacji,B,,,,,,,,,,
mcq,118,Właściwa kolejność etapów planowania to?,Decyzja – Ocena sytuacji – Opracowanie rozkazu – Plan działania,Ocena sytuacji – Decyzja – Opracowanie planu działania – Opracowanie rozkazu bojowego,Opracowanie planu – Ocena sytuacji – Decyzja – Rozkaz,Ocena sytuacji – Opracowanie rozkazu – Decyzja – Plan działania,B,,,,,,,,,,
