type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,42,Co oznacza skrót OPBMR?,Obrona przed Biologiczną Możliwością Rażenia,Obrona przed Bronią Masowego Rażenia,Oznaki Porażenia Bronią Masowego Rażenia,Obrona Poszkodowanych Bronią Masowego Rażenia,B,,,,,,,,,,
mcq,43,Wskaż prawidłową definicję „identyfikacji skażeń”?,Działanie zmierzające do ustalenia rodzaju środka lub materiału użytego podczas wystąpienia zdarzenia BMR,Działanie zmierzające do ustalenia rodzaju środka lub materiału użytego podczas wystąpienia zdarzenia CBRN,Działanie zmierzające do ustalenia przedmiotu i czynnika użytego podczas wystąpienia zdarzenia CBRN,Dział poświęcony identyfikacji skażenia poprzez identyfikację użytego czynnika BMR,B,,,,,,,,,,
mcq,44,Które rozwinięcie skrótu ZSOPS jest prawidłowe?,Zabezpieczające Środki Ochrony przed Skażeniami,Zbiorowe Środki Ochrony przed Skażeniami,Zbiorcze Środki Ochrony przed Skażeniami,Zwyczajny Sprzęt Ochronny przed Skażeniami,B,,,,,,,,,,
mcq,45,Prawidłowa definicja „broni jądrowej” to?,"Kompletny zestaw urządzeń, który w swej ostatecznej, zaplanowanej konfiguracji po zakończeniu procesu uzbrajania prowadzi do zainicjowania niekontrolowanej reakcji jądrowej z uwolnieniem energii","Kompletny zestaw urządzeń, który w swej ostatecznej, zaplanowanej konfiguracji po zakończeniu procesu uzbrajania i odpalania prowadzi do zainicjowania niekontrolowanej reakcji jądrowej z uwolnieniem energii","Zestaw urządzeń, który w swej ostatecznej konfiguracji po zakończeniu procesu odpalania prowadzi do zainicjowania niekontrolowanej reakcji jądrowej z uwolnieniem energii",Urządzenia inicjujące reakcję jądrową z udziałem uwolnionej energii o ogromnej sile,B,,,,,,,,,,
mcq,46,Obrona Przeciwlotnicza jest częścią składową?,walki zbrojnej prowadzonej w wymiarze powietrznym,obrony powietrznej,zabezpieczenia powietrznego państwa,zabezpieczenia bojowego,B,,,,,,,,,,
mcq,47,Jaki element należy do pasywnej powszechnej obrony przeciwlotniczej?,maskowanie,aktywna walka z przeciwnikiem powietrznym,rozpoznanie optyczno-wojskowe przestrzeni powietrznej,ostrzeganie i alarmowanie o zagrożeniu z powietrza,A,,,,,,,,,,
mcq,48,Do obowiązków obserwatora na posterunku obserwacyjnym nie należy?,wykrywanie obiektów powietrznych,identyfikacja obiektów powietrznych,rozśrodkowanie,ostrzeganie i alarmowanie o zagrożeniu z powietrza,C,,,,,,,,,,
mcq,49,Likwidacja skutków uderzeń ze strony przeciwnika powietrznego nie obejmuje?,ewakuacji rannych,naprawy uszkodzonego sprzętu,maskowania,gaszenia pożarów,C,,,,,,,,,,
mcq,50,W całym spektrum zadań ogniowych wykonywanych obecnie przez większość śmigłowców bojowych można określić zastępujące ich rodzaje?,działania na wezwanie z pola walki,samodzielne poszukiwanie i zwalczanie obiektów,zasadzki ogniowe,wszystkie powyższe odpowiedzi są poprawne,D,,,,,,,,,,
mcq,51,Jakie wyróżniamy sposoby stawiania zapór ogniowych w ramach POPL?,"pionowa, pochyłą","pionowa, prostopadła","pochyła, prostopadła",wszystkie powyższe odpowiedzi są poprawne,A,,,,,,,,,,
mcq,52,Zestawy przeciwlotnicze krótkiego zasięgu zgodnie z podziałem według zasięgu mieszczą się w przedziale?,do 10km,od 10km do 50km,od 50km do 100km,powyżej 100km,B,,,,,,,,,,
mcq,53,W ramach programu NAREW pozyskano zestawy przeciwlotnicze?,PATRIOT,CAMM,POPRAD,PIORUN,B,,,,,,,,,,
mcq,54,Co należy do wyposażenia Posterunku Obserwacyjnego?,"dziennik obserwatora, chorągiewki","gong, busola, tabliczki ze stronami świata",środki do obserwacji oraz łączności,wszystkie odpowiedzi są poprawne,D,,,,,,,,,,
mcq,55,Odwołanie alarmu powietrznego może odbywać się z użyciem syreny /sygnału akustycznego/ i jest to?,dźwięk modulowany trwający 3 minuty,dźwięk ciągły trwający 3 minuty,dźwięk przerywany co 1 minutę,dźwięk modulowany trwający 1 minutę,B,,,,,,,,,,
mcq,56,Ogłoszenie alarmu powietrznego może odbywać się z użyciem syreny /sygnału akustycznego/ i jest to?,dźwięk modulowany trwający 3 minuty,dźwięk ciągły trwający 3 minuty,dźwięk przerywany co 1 minutę,dźwięk modulowany trwający 1 minutę,A,,,,,,,,,,
mcq,57,Zestawy przeciwlotnicze z uwagi na zasięg dzielimy na:,"bliskiego, małego, średniego, dalekiego zasięgu","bardzo krótkiego, krótkiego, średniego, dalekiego zasięgu","bardzo krótkiego, małego, średniego, dalekiego zasięgu",,B,,,,,,,,,,
mcq,58,Powszechną Obronę Przeciwlotniczą POPL dzielimy na:,czynną i bierną,jednorodną i mieszaną,aktywną i pasywną,,C,,,,,,,,,,
mcq,59,Powszechna Obrona Przeciwlotnicza jest rodzajem zabezpieczenia:,przeciw śmigłowcowego,bojowego,inżynieryjnego,wszystkie powyższe odpowiedzi są poprawne,B,,,,,,,,,,
mcq,60,Wskazywanie celów powietrznych oraz meldowania o wykrytych celach można dokonać w oparciu o:,kierunek marszu,dozory oraz strony świata,za pomocą zegarka,wszystkie powyższe odpowiedzi są poprawne,D,,,,,,,,,,
mcq,61,Jak dzielimy lotnicze środki rażenia:,"bomby lotnicze, pociski rakietowe, uzbrojenie artyleryjsko-strzeleckie","bomby lotnicze, systemy rakietowe, uzbrojenie artyleryjsko-strzeleckie","bomby lotnicze, pociski rakietowe, działka, karabiny, granatniki",,A,,,,,,,,,,
mcq,62,Podstawowym środkiem walki z Środkami Napadu Powietrznego w ramach Powszechnej Obrony Przeciwlotniczej są:,systemy przeciwlotnicze,broń artyleryjska,broń etatowa i pokładowa,,C,,,,,,,,,,
mcq,63,Ile transmisji składa się na procedurę Call For Fire?,3,4,5,,A,,,,,,,,,,
mcq,64,Co zawiera pierwsza transmisja Call For Fire?,Warning order i observer identification,Observer identification,żadne z powyższych,,A,,,,,,,,,,
mcq,65,Co zawiera druga transmisja Call For Fire?,TGT Location – target location,Observer identification,Warning order,,A,,,,,,,,,,
mcq,66,Co zawiera trzecia transmisja Call For Fire?,"TGT description, method fire and control, method of engagement",method fire and control,"method fire, method of engagement",,A,,,,,,,,,,
mcq,67,Jakie są metody wysyłania informacji o lokalizacji celu podczas procedury Call For Fire?,"grid, laser, polar i shift from known point","laser, polar i shift",żadne z powyższych,,A,,,,,,,,,,
mcq,68,Co znaczy skrót MTO?,Message to observer,Message to orientation,Message to obey,,A,,,,,,,,,,
mcq,69,Co to jest MAX ORD?,Maximum ordnance – maksymalna wierzchołkowa toru lotu pocisku,Maximum cord – maksymalne koordynaty,Maximum observer destination – maksymalna odległość obserwatora,,A,,,,,,,,,,
mcq,70,Co to jest zabezpieczenie inżynieryjne?,"Ubezpieczenie pododdziałów w celu ich obrony przed obserwacją, ogniem bezpośrednim oraz niespodziewanym atakiem przeciwnika",Całokształt podejmowanych i realizowanych przedsięwzięć zapewniających ochronę i obronę stanów osobowych i sprzętu wojskowego,Zorganizowane działanie wojsk polegające na przystosowaniu terenu do prowadzenia działań taktycznych,,C,,,,,,,,,,
mcq,71,Jakie obiekty fortyfikacyjne wykonuje się w ramach prac pierwszej kolejności rozbudowy fortyfikacyjnej terenu?,Schrony przeciwodłamkowe,Okopy dla karabinów maszynowych i granatników przeciwpancernych oraz pojedyncze okopy strzeleckie,Schrony typu lekkiego na stanowiskach dowodzenia,,B,,,,,,,,,,
mcq,72,Zadaniami wsparcia inżynieryjnego w sferze niemilitarnej są?,"udział w akcjach ratowniczych, likwidacji skutków klęsk żywiołowych i katastrof, rozminowywaniu terenu, budowie i utrzymaniu infrastruktury drogowej i mostowej, a także wydobywaniu i oczyszczaniu wody","udział w akcjach ratowniczych, rozminowanie terenu, wydobywanie i oczyszczanie wody","udział w akcjach ratowniczych, likwidacji skutków klęsk żywiołowych i katastrof, rozminowywanie terenu, wydobywaniu wody",,A,,,,,,,,,,
mcq,73,Jaki jest cel rozpoznania inżynieryjnego?,Zdobycie wiarygodnych danych o terenie i działalności inżynieryjnej przeciwnika dla potrzeb wojsk własnych,Zdobycie wiarygodnych danych o terenie dla potrzeb wojsk własnych,Zdobycie wiarygodnych danych o działalności inżynieryjnej przeciwnika dla potrzeb wojsk własnych,zdobycie informacji o przeciwniku,A,,,,,,,,,,
mcq,74,Czym są prace minerskie?,"Prace prowadzone przez zespół ludzi, który w określonym celu wykorzystuje właściwości materiałów wybuchowych","prace prowadzone przez żołnierza, który w określonym celu wykorzystuje miny przeciwpiechotne","prace prowadzone przez zespół ludzi, wykorzystując do tego właściwości granatów ręcznych",,A,,,,,,,,,,
mcq,75,Jakie ładunki wybuchowe wyróżniamy ze względu na kształt?,"wydłużone, kuliste, kumulacyjne, płaskie","kuliste, kumulacyjne","wydłużone, płaskie",żadna odpowiedź nie jest prawidłowa,A,,,,,,,,,,
mcq,76,Wojska inżynieryjne przewidziane są do realizacji wojskowych prac inżynieryjnych wymagających wykorzystania typowych maszyn i materiałów inżynieryjnych w następujących specjalnościach?,Odp. Fortyfikacje i zapory inżynieryjne. Maskowanie i kamuflaż. Wsparcie działań ratowniczych. Zwalczanie skutków skażeń chemicznych i biologicznych. Dostarczanie Energii i Wody,,,,A,,,,,,,,,,
mcq,77,Czym jest wsparcie inżynieryjne?,"Odp. Wszelka działalność inżynieryjna prowadzona przez pododdziały lub oddziały wojsk inżynieryjnych albo inne pododdziały dysponujące sprzętem inżynieryjnym na korzyść podmiotu wspieranego, polegająca na realizacji czynności, prac, zadań i przedsięwzięć inżynieryjnych umożliwiających osiąganie głównego celu działania",,,,A,,,,,,,,,,
mcq,78,Jakie powinno być maskowanie podczas realizacji zadań w ramach zabezpieczenia inżynieryjnego?,"Ciągłe, różnorodne, odporne na warunki atmosferyczne i wiarygodne","Aktywne, ciągłe, wiarygodne i różnorodne","Dynamiczne, wiarygodne i różnorodne",,B,,,,,,,,,,
mcq,79,Zadaniami wsparcia inżynieryjnego w sferze militarnej są?,"Odp. Budowa i utrzymanie infrastruktury, rozminowanie i usuwanie niewybuchów, zabezpieczenie i utrzymanie łańcucha logistycznego, wsparcie w zakresie mobilności wojsk, tworzenie przeszkód terenowych, prace w zakresie ochrony środowiska i przestrzeni, wsparcie w działaniach ofensywnych i defensywnych",,,,A,,,,,,,,,,
mcq,80,Jaką procedurę stosuje się po zatrzymaniu pojazdu w miejscu niebezpiecznym?,5-25,5xC,C-IED,,A,,,,,,,,,,
mcq,81,Jakie obiekty fortyfikacyjne wykonuje się w ramach prac w pierwszej kolejności rozbudowy fortyfikacyjnej terenu?,Schrony przeciwodłamkowe,Okopy dla karabinów maszynowych i granatników przeciwpancernych oraz pojedyncze okopy strzeleckie,schrony typu lekkiego na stanowiskach dowodzenia,,B,,,,,,,,,,
mcq,82,Jakie wyróżniamy sposoby ustawiania pól minowych?,"ręczny, mechaniczny, elektromagnetyczny","narzutowy, ręczny, mechaniczny","mechaniczny, narzutowy, elektromagnetyczny",,B,,,,,,,,,,
mcq,83,Jaką procedurę stosuje się w przypadku wykrycia lub podejrzenia podłożenia IED?,5-25,5xC,C-IED,,B,,,,,,,,,,
mcq,84,Do zasadniczych zadań zabezpieczenia inżynieryjnego nie należy:,przygotowanie i utrzymanie dróg,rozśrodkowanie wojsk,wydobywanie i oczyszczanie wody,,B,,,,,,,,,,
mcq,85,Co to jest EOD?,improwizowane urządzenie wybuchowe z elementami nieusuwalności,procedura postępowania w przypadku wykrycia niewybuchu,pododdział do zwalczania improwizowanych urządzeń wybuchowych,,C,,,,,,,,,,
mcq,86,Wojskowe mapy topograficzne należą do grupy map?,ogólnogeograficznych,tematycznych,specjalnych,,A,,,,,,,,,,
mcq,87,Przygotowanie mapy do pracy nie obejmuje?,sprawdzenie zgodności pokrycia mapy z wykonywanym zadaniem,sprawdzenia aktualności treści mapy,"sprawdzenia wydawcy mapy, jej godła i nr serii",,C,,,,,,,,,,
mcq,88,Mapę można zorientować?,magnetycznie,geometrycznie,wszystkie odpowiedzi są poprawne,,C,,,,,,,,,,
mcq,89,Odległość zmierzona w terenie wynosi 575 m. Jakim odcinkiem jest przedstawiona na mapie w skali 1:25000?,23mm,"2,33 cm","2,3 mm",,A,,,,,,,,,,
mcq,90,Na mapie w skali 1:50000 1cm odpowiada odległości w terenie równej?,50 m,100 m,500 m,,C,,,,,,,,,,
mcq,91,Kierunek północy geograficznej na mapie wyznaczają?,wschodnia i zachodnia ramka mapy,pionowe linie siatki kilometrowej,linie izogony i agony,,A,,,,,,,,,,
mcq,92,Swoje położenie w terenie możemy określić?,według pobliskich punktów orientacyjnych,za pomocą wcięcia w bok (na jeden punkt),za pomocą wcięcia wstecz (na kilka punktów),wszystkie odpowiedzi są poprawne,D,,,,,,,,,,
mcq,93,Jaki sposób pomiaru odległości będzie najczęściej wykorzystywany podczas wykonywania marszu wg mapy?,na „oko”,krokami (parami kroków),wg wielkości kątowych przedmiotów terenowych,,B,,,,,,,,,,
mcq,94,Umowne znaki topograficzne możemy podzielić na?,znaki punktowe,znaki liniowe,wszystkie odpowiedzi są poprawne,znaki objaśniające,C,,,,,,,,,,
mcq,95,Kierunek spadku terenu na mapie możemy określić za pomocą?,kresek spadku,opisu warstwic,wszystkie odpowiedzi są poprawne,,C,,,,,,,,,,
mcq,96,Funkcje dowodzenia to?,"planowanie, organizowanie, przewodzenie, kontrolowanie","orientowanie, planowanie, stawianie zadań, kontrola","proces dowodzenia, system dowodzenia, organizacja dowodzenia","analiza zadania, ocena sytuacji, porównanie i rozważenie wariantów działania",A,,,,,,,,,,
mcq,97,Jakie rodzaje wojsk wchodzą w skład Sił Powietrznych?,"wojska lotnicze, wojska obrony przeciwlotniczej, wojska radiotechniczne","wojska lotnicze, wojska radiotechnicze, wojska szkolne","wojska lotnicze, wojska obrony przeciwlotniczej, wojska obrony powietrznej",,A,,,,,,,,,,
mcq,98,W jakiej sytuacji wydaje się zarządzenie bojowe?,"W wypadku zmiany sytuacji lub sposobu działania dowódca może dokonać zmian w wydanym wcześniej rozkazie bojowym, omawiając tylko punkty, które uległy zmianie",Wydaje się je wyłącznie po zakończeniu działań bojowych w celu podsumowania strat,"Wydaje się je zamiast każdego rozkazu bojowego, niezależnie od sytuacji",Wydaje się je tylko w czasie pokoju podczas szkolenia,A,,,,,,,,,,
mcq,99,Jednostki wojskowe i związki organizacyjne Sił Zbrojnych RP w czasie pokoju podlegają?,Dowódcy Generalnemu Rodzajów Sił Zbrojnych,Dowódcy Operacyjnemu Rodzajów Sił Zbrojnych,Dowódcy Komponentu Polskiemu,,A,,,,,,,,,,
mcq,100,Kto jest Zwierzchnikiem Sił Zbrojnych RP?,Prezydent RP,Minister Obrony Narodowej,Dowódca Generalny Rodzajów Sił Zbrojnych,,A,,,,,,,,,,
mcq,101,Ile punktów zawiera rozkaz bojowy?,5,6,4,3,A,,,,,,,,,,
mcq,102,Jakie elementy wchodzą w skład systemu dowodzenia?,"Organizacja dowodzenia, środki dowodzenia, proces dowodzenia","Zasoby dowodzenia, środki dowodzenia, organizacja dowodzenia, proces dowodzenia","Organizacja dowodzenia, środki dowodzenia, zasady dowodzenia",,A,,,,,,,,,,
mcq,103,Wojska aeromobilne wchodzą w skład?,wojska zabezpieczenia,wojska wsparcia,wojsk lądowych,sił powietrznych,C,,,,,,,,,,
mcq,104,W skład Sił Powietrznych jako ich związki taktyczne wchodzą?,"1 Skrzydło Lotnictwa Taktycznego, 2 Skrzydło Lotnictwa Taktycznego, 3 Skrzydło Lotnictwa Transportowego, 4 Skrzydło Lotnictwa Szkolnego, 3 Brygada Radiotechniczna, 3 Brygada Rakietowa Obrony Powietrznej","1 Skrzydło Lotnictwa Taktycznego, 2 Skrzydło Lotnictwa Taktycznego, 3 Skrzydło Lotnictwa Transportowego","1 Skrzydło Lotnictwa Taktycznego, 2 Skrzydło Lotnictwa Taktycznego, 3 Brygada Radiotechniczna, 3 Brygada Rakietowa Obrony Powietrznej",,A,,,,,,,,,,
